model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std
XGBoost,0.7857610010055881,0.08442643863876463,0.37619120291946373,0.1540665956296318,0.36333333333333334,0.22666666666666663,0.30666666666666664,0.19020456823582807,0.29709401709401706,0.15620003620765208
Random Forest,0.7592410992731763,0.08617221183583589,0.3729283565206486,0.09951172724016008,0.32333333333333336,0.23418890760333727,0.4928571428571429,0.42281853105567835,0.2793939393939394,0.14355323000160422
Logistic Regression,0.6993179503825053,0.0965544689567353,0.3319703355926266,0.11731193030893579,0.6399999999999999,0.25508168626278654,0.16464052287581699,0.06859208550325752,0.25689160512689924,0.10061131555426729
